Time,Source IP,Dest IP,Protocol,Packet Size,Summary,Raw Payload (Hex)
10:23:59,127.0.0.1,127.0.0.1,TCP,469,Ether / IP / TCP 127.0.0.1:44000 > 127.0.0.1:8000 PA / Raw,474554202f7061636b65747320485454502f312e310d0a486f73743a206c6f63616c686f73743a383030300d0a557365722d4167656e743a204d6f7a696c6c612f352e3020285831313b205562756e74753b204c696e7578207838365f36343b2072763a3134362e3029204765636b6f2f32303130303130312046697265666f782f3134362e300d0a4163636570743a202a2f2a0d0a4163636570742d4c616e67756167653a20656e2d55532c656e3b713d302e350d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174652c2062722c207a7374640d0a526566657265723a20687474703a2f2f3132372e302e302e313a383038302f0d0a4f726967696e3a20687474703a2f2f3132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a5365632d46657463682d446573743a20656d7074790d0a5365632d46657463682d4d6f64653a20636f72730d0a5365632d46657463682d536974653a2063726f73732d736974650d0a5072696f726974793a20753d340d0a0d0a
10:23:59,127.0.0.1,127.0.0.1,TCP,66,Ether / IP / TCP 127.0.0.1:8000 > 127.0.0.1:44000 A,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,66,Ether / IP / TCP 127.0.0.1:8000 > 127.0.0.1:44000 A,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:44010 > 127.0.0.1:8000 S,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:44022 > 127.0.0.1:8000 S,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:44022 > 127.0.0.1:8000 S,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:8000 > 127.0.0.1:44022 SA,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:44026 > 127.0.0.1:8000 S,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:44026 > 127.0.0.1:8000 S,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:8000 > 127.0.0.1:44026 SA,No Payload
10:23:59,127.0.0.1,127.0.0.1,TCP,74,Ether / IP / TCP 127.0.0.1:8000 > 127.0.0.1:44026 SA,No Payload
